Timestamp,Average,Sum,Minimum,Maximum,Unit,Metric
2025-03-21 22:20:00+00:00,1.0,6.0,1.0,1.0,Count,Invocations
2025-03-20 18:20:00+00:00,1.0,4.0,1.0,1.0,Count,Invocations
2025-03-21 17:20:00+00:00,1.0,7.0,1.0,1.0,Count,Invocations
2025-03-20 13:20:00+00:00,1.0,9.0,1.0,1.0,Count,Invocations
2025-03-20 21:20:00+00:00,1.0,8.0,1.0,1.0,Count,Invocations
2025-03-21 20:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-20 16:20:00+00:00,1.0,6.0,1.0,1.0,Count,Invocations
2025-03-21 02:20:00+00:00,1.0,40.0,1.0,1.0,Count,Invocations
2025-03-22 01:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-21 05:20:00+00:00,1.0,14.0,1.0,1.0,Count,Invocations
2025-03-21 15:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-20 11:20:00+00:00,1.0,11.0,1.0,1.0,Count,Invocations
2025-03-21 10:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-20 06:20:00+00:00,1.0,2.0,1.0,1.0,Count,Invocations
2025-03-20 14:20:00+00:00,1.0,6.0,1.0,1.0,Count,Invocations
2025-03-20 09:20:00+00:00,1.0,24.0,1.0,1.0,Count,Invocations
2025-03-21 13:20:00+00:00,1.0,12.0,1.0,1.0,Count,Invocations
2025-03-21 00:20:00+00:00,1.0,10.0,1.0,1.0,Count,Invocations
2025-03-21 23:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-20 19:20:00+00:00,1.0,4.0,1.0,1.0,Count,Invocations
2025-03-21 18:20:00+00:00,1.0,5.0,1.0,1.0,Count,Invocations
2025-03-22 02:20:00+00:00,1.0,8.0,1.0,1.0,Count,Invocations
2025-03-20 22:20:00+00:00,1.0,13.0,1.0,1.0,Count,Invocations
2025-03-20 17:20:00+00:00,1.0,6.0,1.0,1.0,Count,Invocations
2025-03-21 21:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-21 08:20:00+00:00,1.0,5.0,1.0,1.0,Count,Invocations
2025-03-21 03:20:00+00:00,1.0,7.0,1.0,1.0,Count,Invocations
2025-03-20 07:20:00+00:00,1.0,14.0,1.0,1.0,Count,Invocations
2025-03-21 11:20:00+00:00,1.0,3.0,1.0,1.0,Count,Invocations
2025-03-21 06:20:00+00:00,1.0,20.0,1.0,1.0,Count,Invocations
2025-03-21 16:20:00+00:00,1.0,5.0,1.0,1.0,Count,Invocations
2025-03-20 12:20:00+00:00,1.0,15.0,1.0,1.0,Count,Invocations
2025-03-20 15:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 19:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 14:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 01:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-22 00:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 20:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 04:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 23:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 10:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 09:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 12:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 08:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 07:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 22:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 18:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 17:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 13:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 21:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 20:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 16:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 02:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-22 01:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 05:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 15:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 11:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 10:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 06:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 14:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 09:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 13:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 00:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 23:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 19:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 18:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-22 02:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 22:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 17:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 21:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 08:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 03:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 07:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 11:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 06:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-21 16:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 12:20:00+00:00,0.0,0.0,0.0,0.0,Count,Errors
2025-03-20 15:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 19:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 14:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 01:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-22 00:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 20:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 04:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 23:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 10:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 09:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 12:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 08:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 07:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 22:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 18:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 17:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 13:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 21:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 20:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 16:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 02:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-22 01:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 05:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 15:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 11:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 10:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 06:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 14:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 09:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 13:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 00:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 23:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 19:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 18:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-22 02:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 22:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 17:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 21:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 08:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 03:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 07:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 11:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 06:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-21 16:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 12:20:00+00:00,0.0,0.0,0.0,0.0,Count,Throttles
2025-03-20 15:20:00+00:00,1.0,6.0,1.0,1.0,Count,ConcurrentExecutions
2025-03-21 19:20:00+00:00,1.0,6.0,1.0,1.0,Count,ConcurrentExecutions
2025-03-21 14:20:00+00:00,1.0,3.0,1.0,1.0,Count,ConcurrentExecutions
2025-03-21 01:20:00+00:00,1.0,26.0,1.0,1.0,Count,ConcurrentExecutions
